_id,unidade,mes,ano,grau,escore,predicao_obito,saidas_rn,obitos_ocorridos,obitos_esperados
94,HRAD,dezembro,2021,II,6 a 10,"55,9",0,0,0
95,HRAD,dezembro,2021,III,11 a 5 ,"73,1",0,0,0
96,HRAD,dezembro,2021,IV,> 15,100,0,0,0
97,MOV,janeiro,2021,I,0 a 5,"9,3",4,0,"0,37"
98,MOV,janeiro,2021,II,6 a 10,"55,9",0,0,0
99,MOV,janeiro,2021,III,11 a 5 ,"73,1",1,0,"0,73"
100,MOV,janeiro,2021,IV,> 15,100,0,0,0
101,MOV,fevereiro,2021,I,0 a 5,"9,3",3,0,"0,28"
102,MOV,fevereiro,2021,II,6 a 10,"55,9",1,0,"0,56"
103,MOV,fevereiro,2021,III,11 a 5 ,"73,1",1,0,"0,73"
104,MOV,fevereiro,2021,IV,> 15,100,1,1,1
105,MOV,março,2021,I,0 a 5,"9,3",0,0,0
106,MOV,março,2021,II,6 a 10,"55,9",1,0,"0,56"
107,MOV,março,2021,III,11 a 5 ,"73,1",1,0,"0,73"
108,MOV,março,2021,IV,> 15,100,0,0,0
109,MOV,abril,2021,I,0 a 5,"9,3",0,0,0
110,MOV,abril,2021,II,6 a 10,"55,9",2,0,"1,12"
111,MOV,abril,2021,III,11 a 5 ,"73,1",2,0,"1,46"
112,MOV,abril,2021,IV,> 15,100,0,0,0
113,MOV,maio,2021,I,0 a 5,"9,3",0,0,0
114,MOV,maio,2021,II,6 a 10,"55,9",2,0,"1,12"
115,MOV,maio,2021,III,11 a 5 ,"73,1",1,1,"0,73"
116,MOV,maio,2021,IV,> 15,100,0,0,0
117,MOV,junho,2021,I,0 a 5,"9,3",1,0,"0,09"
118,MOV,junho,2021,II,6 a 10,"55,9",0,0,0
119,MOV,junho,2021,III,11 a 5 ,"73,1",0,0,0
120,MOV,junho,2021,IV,> 15,100,0,0,0
121,MOV,julho,2021,I,0 a 5,"9,3",0,0,0
122,MOV,julho,2021,II,6 a 10,"55,9",2,1,"1,12"
123,MOV,julho,2021,III,11 a 5 ,"73,1",3,3,"2,19"
124,MOV,julho,2021,IV,> 15,100,3,3,3
125,MOV,agosto,2021,I,0 a 5,"9,3",0,0,0
126,MOV,agosto,2021,II,6 a 10,"55,9",4,1,"2,24"
127,MOV,agosto,2021,III,11 a 5 ,"73,1",1,1,"0,73"
128,MOV,agosto,2021,IV,> 15,100,0,0,0
129,MOV,setembro,2021,I,0 a 5,"9,3",2,0,"0,19"
130,MOV,setembro,2021,II,6 a 10,"55,9",1,0,"0,56"
131,MOV,setembro,2021,III,11 a 5 ,"73,1",2,1,"1,46"
132,MOV,setembro,2021,IV,> 15,100,0,0,0
133,MOV,outubro,2021,I,0 a 5,"9,3",3,0,"0,28"
134,MOV,outubro,2021,II,6 a 10,"55,9",2,0,"1,12"
135,MOV,outubro,2021,III,11 a 5 ,"73,1",1,1,"0,73"
136,MOV,outubro,2021,IV,> 15,100,0,0,0
137,MOV,novembro,2021,I,0 a 5,"9,3",1,0,"0,09"
138,MOV,novembro,2021,II,6 a 10,"55,9",1,0,"0,56"
139,MOV,novembro,2021,III,11 a 5 ,"73,1",4,3,"2,92"
140,MOV,novembro,2021,IV,> 15,100,2,2,2
141,MOV,dezembro,2021,I,0 a 5,"9,3",1,0,"0,09"
142,MOV,dezembro,2021,II,6 a 10,"55,9",0,0,0
143,MOV,dezembro,2021,III,11 a 5 ,"73,1",0,0,0
144,MOV,dezembro,2021,IV,> 15,100,0,0,0
145,HRJP,janeiro,2021,I,0 a 5,"9,3",1,0,"0,09"
146,HRJP,janeiro,2021,II,6 a 10,"55,9",1,0,"0,56"
147,HRJP,janeiro,2021,III,11 a 5 ,"73,1",1,1,"0,73"
148,HRJP,janeiro,2021,IV,> 15,100,0,0,0
149,HRJP,fevereiro,2021,I,0 a 5,"9,3",0,0,0
150,HRJP,fevereiro,2021,II,6 a 10,"55,9",1,0,"0,56"
151,HRJP,fevereiro,2021,III,11 a 5 ,"73,1",0,0,0
152,HRJP,fevereiro,2021,IV,> 15,100,2,2,2
153,HRJP,março,2021,I,0 a 5,"9,3",0,0,0
154,HRJP,março,2021,II,6 a 10,"55,9",1,0,"0,56"
155,HRJP,março,2021,III,11 a 5 ,"73,1",1,0,"0,73"
156,HRJP,março,2021,IV,> 15,100,0,0,0
157,HRJP,abril,2021,I,0 a 5,"9,3",3,0,"0,28"
158,HRJP,abril,2021,II,6 a 10,"55,9",0,0,0
159,HRJP,abril,2021,III,11 a 5 ,"73,1",0,0,0
160,HRJP,abril,2021,IV,> 15,100,0,0,0
161,HRJP,maio,2021,I,0 a 5,"9,3",3,1,"0,28"
162,HRJP,maio,2021,II,6 a 10,"55,9",1,0,"0,56"
163,HRJP,maio,2021,III,11 a 5 ,"73,1",1,0,"0,73"
164,HRJP,maio,2021,IV,> 15,100,0,0,0
165,HRJP,junho,2021,I,0 a 5,"9,3",1,1,"0,09"
166,HRJP,junho,2021,II,6 a 10,"55,9",3,0,"1,68"
167,HRJP,junho,2021,III,11 a 5 ,"73,1",0,0,0
168,HRJP,junho,2021,IV,> 15,100,0,0,0
169,HRJP,julho,2021,I,0 a 5,"9,3",2,0,"0,19"
170,HRJP,julho,2021,II,6 a 10,"55,9",1,0,"0,56"
171,HRJP,julho,2021,III,11 a 5 ,"73,1",0,0,0
172,HRJP,julho,2021,IV,> 15,100,1,1,1
173,HRJP,agosto,2021,I,0 a 5,"9,3",1,0,"0,09"
174,HRJP,agosto,2021,II,6 a 10,"55,9",3,0,"1,68"
175,HRJP,agosto,2021,III,11 a 5 ,"73,1",1,0,"0,73"
176,HRJP,agosto,2021,IV,> 15,100,0,0,0
177,HRJP,setembro,2021,I,0 a 5,"9,3",1,0,"0,09"
178,HRJP,setembro,2021,II,6 a 10,"55,9",0,0,0
179,HRJP,setembro,2021,III,11 a 5 ,"73,1",0,0,0
180,HRJP,setembro,2021,IV,> 15,100,0,0,0
181,HRJP,outubro,2021,I,0 a 5,"9,3",1,0,"0,09"
182,HRJP,outubro,2021,II,6 a 10,"55,9",0,0,0
183,HRJP,outubro,2021,III,11 a 5 ,"73,1",0,0,0
184,HRJP,outubro,2021,IV,> 15,100,0,0,0
185,HRJP,novembro,2021,I,0 a 5,"9,3",2,0,"0,19"
186,HRJP,novembro,2021,II,6 a 10,"55,9",4,1,"2,24"
187,HRJP,novembro,2021,III,11 a 5 ,"73,1",0,0,0
188,HRJP,novembro,2021,IV,> 15,100,0,0,0
189,HRJP,dezembro,2021,I,0 a 5,"9,3",0,0,0
190,HRJP,dezembro,2021,II,6 a 10,"55,9",1,0,"0,56"
191,HRJP,dezembro,2021,III,11 a 5 ,"73,1",2,1,"1,46"
192,HRJP,dezembro,2021,IV,> 15,100,0,0,0
